epoch,train_accuracy,test_accuracy,training_time,inference_time
1,52.395,51.92,58.25918507575989,8.660601377487183
2,56.1175,55.61000000000001,54.47602415084839,8.557785749435425
3,50.99249999999999,50.580000000000005,53.93812918663025,8.630797386169434
4,53.628750000000004,53.36,53.28636431694031,8.48660922050476
5,55.2275,55.084999999999994,52.27920627593994,8.33382248878479
6,66.85,66.42,51.755759954452515,8.357983827590942
7,61.37625,61.065000000000005,51.54742956161499,8.237841606140137
8,59.66875,59.685,51.11238765716553,8.347005128860474
9,63.42250000000001,63.085,50.63394021987915,8.269402503967285
10,59.981249999999996,59.614999999999995,50.560856342315674,9.023812055587769
11,63.75999999999999,63.28,49.98370623588562,7.770188093185425
12,57.513749999999995,57.035000000000004,47.56348538398743,7.921066522598267
13,78.41625,77.79,46.83930063247681,7.86225152015686
14,80.23,79.415,48.98178458213806,8.087497472763062
15,72.86375000000001,72.25,48.71263122558594,7.959631443023682
16,70.635,69.735,48.82415413856506,8.26386046409607
17,66.27499999999999,65.545,48.322914123535156,8.12016224861145
18,73.53,73.16,48.933253049850464,8.346867084503174
19,62.153749999999995,61.795,47.928067207336426,8.131194829940796
20,65.655,64.92999999999999,48.04481816291809,8.746970653533936
21,61.08375,60.485,47.56819224357605,7.9546308517456055
22,74.48625,74.17,47.727455377578735,8.306631565093994
23,83.1325,82.09,47.11708211898804,8.045240640640259
24,83.40625,83.08,47.29016160964966,8.207173347473145
25,80.1825,79.64,47.412776470184326,8.070281267166138
26,86.1375,85.395,47.0227108001709,8.432734489440918
27,82.84875000000001,82.085,47.29316210746765,8.257188320159912
28,77.8775,77.235,46.33339071273804,7.986794471740723
29,76.59625,76.145,44.12813091278076,7.605105876922607
30,83.70375,83.26,43.45898628234863,7.736180782318115
31,76.85875,76.12,43.60581707954407,7.911595821380615
32,80.37125,80.00500000000001,43.616904497146606,7.8260297775268555
33,80.55250000000001,80.28,43.276211977005005,7.613839626312256
34,77.775,77.06,42.88932776451111,7.916477918624878
35,87.86125,87.435,43.058337688446045,7.681794166564941
36,76.36874999999999,75.955,43.66855812072754,7.756972312927246
37,86.745,85.45,43.38387656211853,8.138712882995605
38,88.945,88.205,42.987420320510864,7.757883310317993
39,88.76625,88.58,43.10415267944336,7.823067903518677
40,94.38,93.99,42.81003022193909,7.811128616333008
41,93.5125,93.11500000000001,42.29728364944458,7.834721326828003
42,76.0925,75.62,42.861674547195435,7.96312141418457
43,95.77250000000001,95.32000000000001,42.395365953445435,7.598306179046631
44,90.90875,90.685,41.74647259712219,7.609834432601929
45,92.035,91.985,41.89550518989563,7.791621208190918
46,96.10625,96.155,42.052711963653564,7.779239177703857
47,89.5575,89.28,41.895556926727295,7.4940080642700195
48,86.1075,85.82,41.35101938247681,7.531181812286377
49,90.89125,90.635,41.23848533630371,7.541680812835693
50,97.05875,97.13000000000001,41.05247139930725,7.9580910205841064
51,82.92500000000001,82.69999999999999,41.058478593826294,7.58273720741272
52,95.17625,95.055,40.85664129257202,7.856581211090088
53,95.2375,95.30499999999999,41.06232142448425,7.803378105163574
54,92.95875,92.71000000000001,41.01157546043396,7.605772495269775
55,88.44125000000001,87.99,40.50644040107727,7.659845590591431
56,98.00999999999999,97.82,41.40072727203369,8.021018981933594
57,95.14625,94.75,41.400550365448,7.853938817977905
58,94.68124999999999,94.585,40.40348291397095,7.688124179840088
59,95.32875,95.32000000000001,40.38737750053406,7.5069921016693115
60,98.2225,98.195,39.77243971824646,7.5160462856292725
61,93.9125,93.485,40.33553385734558,7.614983558654785
62,92.68125,92.175,40.54458689689636,8.212188005447388
63,97.935,97.705,40.89088320732117,7.787933588027954
64,99.30125,99.225,40.27300143241882,7.76856803894043
65,99.47375000000001,99.495,39.58634662628174,7.560998201370239
66,92.2925,92.19000000000001,39.49695301055908,7.664309740066528
67,99.26,99.2,39.87003707885742,7.503737926483154
68,98.745,98.615,39.48843741416931,7.502415180206299
69,99.3575,99.28,39.22429299354553,7.541628360748291
70,99.52625,99.435,39.18296146392822,7.669854402542114
71,95.5625,95.27,39.13841199874878,7.5983171463012695
72,99.36375,99.21,39.4363112449646,7.681475877761841
73,98.02125000000001,97.77,38.993499994277954,7.829780101776123
74,99.49875,99.41,39.2956337928772,7.702337980270386
75,99.61625,99.62,39.47576117515564,7.627238035202026
76,99.04125,98.92,39.55035352706909,8.085161924362183
77,99.7775,99.665,39.28815174102783,7.805803537368774
78,99.43625,99.36,39.01582741737366,7.680896520614624
79,99.385,99.33999999999999,38.57334661483765,7.620141983032227
80,98.97500000000001,98.79,39.14318919181824,7.736100912094116
81,99.715,99.655,39.283175468444824,7.671836853027344
82,99.7775,99.78,38.86928057670593,7.606876373291016
83,99.83375,99.77000000000001,39.046488761901855,7.727041482925415
