epoch,train_accuracy,test_accuracy,training_time,inference_time
1,53.815000000000005,53.25,91.3402247428894,12.89264965057373
2,54.947500000000005,54.38499999999999,80.98535752296448,14.446211099624634
3,61.26625,60.51,77.83930206298828,14.903833627700806
4,57.84125,57.235,76.58651351928711,14.909559488296509
5,60.08125,59.17,75.36463475227356,12.075253009796143
6,62.9125,62.144999999999996,74.38607478141785,12.160767555236816
7,64.65375,63.695,73.81330585479736,12.010753631591797
8,65.6575,64.755,72.63065004348755,12.19286036491394
9,60.54625,59.765,72.42062044143677,17.03215217590332
10,58.145,57.495,72.2647430896759,11.886997699737549
11,60.868750000000006,60.185,72.70614743232727,12.153403282165527
12,64.07000000000001,62.96000000000001,73.70125389099121,12.043886423110962
13,66.2625,65.18,71.35154247283936,11.78895115852356
14,63.66374999999999,62.614999999999995,73.73906970024109,12.204370975494385
15,69.2075,67.78,72.4333918094635,11.635027170181274
16,71.46249999999999,69.81,70.78844976425171,11.834599018096924
17,68.0575,66.83,70.5429482460022,11.835778713226318
18,68.145,66.845,71.64811825752258,12.580127477645874
19,65.715,64.495,70.8073525428772,11.54706597328186
20,70.18375,68.415,70.29497694969177,11.472967147827148
21,66.20875000000001,65.11,69.15938925743103,11.587767362594604
22,66.22375000000001,65.02,69.02742505073547,11.954021215438843
23,69.54875,68.64,70.42454981803894,11.991884708404541
24,65.76875,64.53,69.65119981765747,11.638988018035889
25,66.61,65.265,69.13155746459961,11.855419158935547
26,66.42,65.38000000000001,68.08395862579346,11.954536437988281
27,68.3775,66.59,70.03217077255249,11.812208890914917
28,64.33875,63.36000000000001,69.11195206642151,11.506669759750366
29,68.75750000000001,67.72500000000001,69.59003162384033,11.361615180969238
30,66.985,65.69,68.3201174736023,11.707261800765991
31,64.18,62.81,69.49400615692139,12.060460805892944
32,65.1225,63.74999999999999,69.40561628341675,11.365264177322388
33,60.91875,59.885,68.63624453544617,11.474404096603394
34,60.894999999999996,59.830000000000005,68.36096525192261,11.450729608535767
35,65.595,64.51,68.65248370170593,11.658502340316772
36,65.24624999999999,63.865,68.0013837814331,11.407749652862549
37,63.21125,62.03999999999999,68.14699077606201,11.364415645599365
38,67.91,66.36999999999999,68.67190027236938,11.44493842124939
39,66.105,64.78,68.56613278388977,11.585255146026611
40,62.30625,61.260000000000005,67.68102288246155,11.493138313293457
41,59.5375,58.8,67.81288003921509,11.341458559036255
42,66.5725,65.34,67.85373759269714,13.871358633041382
43,66.77250000000001,65.45,67.919682264328,11.474585056304932
44,66.03999999999999,64.53999999999999,67.44885158538818,11.441532850265503
45,68.24249999999999,66.59,67.7864441871643,11.387305498123169
46,68.515,66.8,68.31004691123962,11.80043649673462
47,67.31125,66.235,70.16361021995544,11.360897302627563
48,69.2625,67.95,68.29108047485352,17.078643083572388
49,69.0775,67.465,68.49708151817322,11.685884714126587
50,70.92125,69.45,67.51816391944885,11.4714195728302
51,69.27,68.12,67.46774864196777,11.070096254348755
52,70.08375,68.75,67.79651308059692,11.693811893463135
53,70.27,68.66,67.66655492782593,11.21888017654419
54,69.17875,67.745,66.65452122688293,12.04905366897583
55,67.49875,65.92,68.98429489135742,11.350841760635376
56,64.52875,63.575,67.93982076644897,11.528912544250488
57,68.67625000000001,67.365,67.46788001060486,11.306742191314697
58,69.22625,67.35,68.25749373435974,11.48276138305664
59,72.34125,69.99,67.78980851173401,11.24110460281372
60,68.41125,66.91,67.58669328689575,11.872206926345825
61,67.71125,66.32000000000001,68.29052543640137,11.184848308563232
62,64.22375,63.044999999999995,68.48353457450867,11.386217832565308
63,67.265,65.935,67.11811852455139,11.199768781661987
64,66.7625,65.39,67.96169996261597,11.447496891021729
65,67.89375,66.27,66.86735320091248,11.839910507202148
66,71.89875,70.045,68.48854494094849,11.459324598312378
67,68.25375,67.035,67.71757626533508,11.636416912078857
68,69.05,67.50500000000001,68.05178618431091,11.522127151489258
69,65.59625,64.3,68.35259985923767,11.545281171798706
70,66.1675,64.865,69.98650240898132,12.081488132476807
71,67.31,65.915,67.71833038330078,11.307100772857666
72,70.19875,68.545,67.24260234832764,11.20275092124939
73,70.0175,67.985,67.22186231613159,11.855073690414429
74,69.17999999999999,67.47999999999999,68.36698770523071,11.365259647369385
75,69.74000000000001,67.75999999999999,69.46185517311096,11.789496660232544
76,67.5875,65.95,69.21117663383484,11.720465660095215
77,66.57375,64.845,66.16738700866699,11.257171392440796
78,70.06375,68.50500000000001,67.25509119033813,11.470109462738037
79,71.80499999999999,69.80499999999999,68.28219056129456,11.62785267829895
80,67.9175,66.485,67.1946816444397,11.161619663238525
81,70.42875,68.66,67.59246683120728,11.461082220077515
82,71.97,70.23,67.26110053062439,11.18677282333374
83,70.42,68.46,66.8307147026062,11.62820053100586
84,68.37625,66.46,67.50036454200745,12.108848571777344
85,70.77624999999999,68.85,70.07595610618591,11.855568647384644
86,65.85499999999999,64.685,69.59819889068604,11.996895551681519
87,61.58625,60.765,69.14129686355591,11.670539617538452
88,65.25375,63.635,67.10547924041748,11.558780908584595
89,61.70250000000001,60.695,67.39396023750305,11.327373504638672
90,63.98625,62.82,67.01564908027649,11.55418086051941
91,61.845000000000006,60.69,66.78643560409546,11.428138732910156
92,64.78125,63.305,67.76770997047424,11.623651504516602
93,66.52875,65.11,67.22291111946106,11.410808801651001
94,69.3075,67.78999999999999,67.12616157531738,11.231666803359985
95,70.16624999999999,68.19,67.95664954185486,11.34520697593689
96,67.5675,66.065,67.15118837356567,11.775590181350708
97,65.68375,64.515,67.3336808681488,11.53747820854187
98,68.91874999999999,67.2,68.24377393722534,11.378008604049683
99,69.07624999999999,67.47999999999999,67.6009840965271,11.849567890167236
100,66.46625,65.385,67.62264037132263,11.36562442779541
101,67.4125,65.835,67.4222514629364,11.282394409179688
102,66.73375,65.32,67.53947448730469,11.573394298553467
103,68.4925,67.105,66.974454164505,11.247512578964233
104,63.23,61.919999999999995,66.91646480560303,11.755232334136963
105,65.5925,64.05,67.091952085495,11.607364416122437
106,64.21375,63.14999999999999,66.56408047676086,11.147327661514282
107,65.9575,64.63499999999999,66.86386108398438,11.174408197402954
108,59.967499999999994,58.935,66.54659795761108,11.23268985748291
109,63.080000000000005,61.919999999999995,67.67140865325928,11.818039417266846
110,64.3475,63.22,66.86946558952332,11.28831148147583
111,68.75875,67.12,66.56192255020142,11.20789885520935
112,65.93,64.53,69.22927236557007,11.594213008880615
113,69.535,67.62,68.55317425727844,11.518667221069336
114,71.125,69.405,66.69548511505127,11.115858554840088
115,70.69375,69.00500000000001,66.35642290115356,11.147769451141357
116,68.655,67.18499999999999,67.14533638954163,11.16158938407898
117,69.2475,67.86,66.12676978111267,11.238587617874146
118,67.20875,65.75,66.38097929954529,11.281092643737793
119,64.6925,63.365,67.38407301902771,11.474690198898315
120,65.00125,63.605000000000004,66.57103681564331,11.542705535888672
121,66.545,65.535,67.06436419487,11.712303161621094
122,64.33125,63.405,67.08274459838867,11.269859552383423
123,66.70375,65.495,66.34347462654114,11.146508932113647
124,66.45375,65.27,67.02661180496216,11.313476800918579
125,68.32875,67.235,66.19277501106262,11.3687264919281
126,68.67375,67.335,66.61959147453308,11.90780234336853
127,66.8275,65.485,66.90839910507202,11.426444053649902
128,64.8925,63.78,66.65262484550476,11.133662700653076
129,68.795,67.30000000000001,66.31832933425903,11.171086311340332
130,66.4825,65.205,67.3881995677948,11.17228364944458
131,64.82875,63.18,66.31674408912659,11.162667274475098
132,68.61749999999999,66.86,66.775066614151,11.240759372711182
133,69.48,67.465,66.40276026725769,11.433491945266724
134,70.93875,68.435,66.95565128326416,11.39226746559143
135,65.54625,64.03999999999999,68.32756733894348,11.505790948867798
136,64.97874999999999,63.660000000000004,66.65312051773071,11.223560094833374
137,63.5375,62.415,66.36987519264221,11.32110857963562
138,69.65625,67.74,67.11758637428284,11.252302408218384
139,69.24,67.32000000000001,68.51790189743042,11.186725854873657
140,69.96124999999999,67.93,66.73594212532043,11.30571961402893
141,67.23125,65.4,66.61456775665283,11.134946346282959
142,67.85,66.02,66.5208752155304,11.173815488815308
143,64.11125,62.82,66.3426582813263,11.739620208740234
144,64.52125,63.23,66.6767795085907,11.320389747619629
145,62.6425,61.775000000000006,67.31910300254822,11.405848264694214
146,66.3825,65.045,66.61287808418274,11.22767186164856
147,62.125,61.07,66.74843764305115,11.545394659042358
148,60.40375,59.58,66.96179127693176,11.212071180343628
149,61.160000000000004,59.995,65.92551469802856,11.171835660934448
150,59.79750000000001,59.01499999999999,66.52744317054749,11.265863180160522
151,63.415,62.205,66.3399670124054,11.373425245285034
152,63.315,62.195,67.24883651733398,11.278651475906372
153,68.57875,66.755,66.50273513793945,11.3202965259552
154,64.11125,62.885000000000005,66.82755136489868,11.351387023925781
155,63.7425,62.824999999999996,66.65905165672302,11.222423315048218
156,69.525,67.62,66.91651821136475,11.185887813568115
157,69.80375,67.765,66.94199705123901,11.311140537261963
158,72.42875,69.705,67.01071333885193,11.244190454483032
159,70.28875,67.92,66.56149196624756,11.670988321304321
160,68.10374999999999,66.335,67.60780549049377,11.240429401397705
161,71.585,69.05,66.6720552444458,11.399647235870361
162,70.81375,68.99499999999999,66.98811340332031,11.24001169204712
163,68.325,66.715,68.57400846481323,11.49353289604187
164,68.58875,66.55,66.67513179779053,10.938234567642212
165,66.53750000000001,64.62,66.64725399017334,11.062041282653809
166,67.50500000000001,65.64,66.55779433250427,11.336688756942749
167,69.47,66.88,67.13284611701965,11.3621985912323
168,69.56375,67.655,68.35501408576965,11.9876868724823
169,66.32124999999999,64.87,66.74845242500305,11.17785096168518
170,64.98125,63.605000000000004,67.64386010169983,11.265974998474121
171,64.43124999999999,63.13999999999999,67.10701632499695,11.258937120437622
172,68.1075,66.28500000000001,66.73427724838257,11.220487356185913
173,65.19125,63.585,67.02724003791809,11.696974039077759
174,62.517500000000005,61.425,67.15174865722656,11.54655647277832
175,63.23125,61.8,67.49149131774902,10.757933139801025
176,61.06625,59.830000000000005,66.46790933609009,11.425066709518433
177,66.01625,63.855,66.76925587654114,11.480657577514648
178,65.805,64.06500000000001,67.03842639923096,11.300112009048462
179,63.690000000000005,62.3,66.86064743995667,11.540836572647095
180,65.64375,64.0,66.51521277427673,11.226847171783447
181,65.36375,63.695,66.03267455101013,11.52045226097107
182,67.77250000000001,65.975,66.65967392921448,11.364077806472778
183,68.44749999999999,66.415,66.26282405853271,11.215130805969238
184,65.90625,64.51,65.85161185264587,11.291852951049805
185,67.64125,65.85499999999999,66.20141005516052,11.281446695327759
186,70.23625,68.2,66.35117769241333,11.228227138519287
