epoch,train_accuracy,test_accuracy,training_time,inference_time
1,57.267500000000005,56.755,110.78063726425171,21.48549461364746
2,59.440000000000005,58.52,100.76077914237976,16.20690107345581
3,64.06500000000001,62.544999999999995,98.51589441299438,16.08427119255066
4,66.89500000000001,65.01,95.22000336647034,16.947811126708984
5,66.09875,64.46499999999999,93.76922297477722,18.54669737815857
6,67.34875,65.49000000000001,94.04004621505737,22.543483018875122
7,65.39125,63.970000000000006,92.970055103302,16.14371657371521
8,65.33125,63.44,92.49027466773987,16.071910858154297
9,66.30125,64.505,91.50331330299377,22.46753239631653
10,61.07,60.160000000000004,90.91012024879456,16.05228018760681
11,66.19500000000001,64.48,90.12708497047424,16.783890962600708
12,67.2175,65.46499999999999,88.17649483680725,15.91327953338623
13,68.305,66.375,90.88488364219666,16.05043935775757
14,67.27250000000001,65.22,90.08145952224731,15.765831708908081
15,68.7225,66.79,86.902188539505,15.285447359085083
16,68.7075,66.905,89.02002382278442,15.92077374458313
17,68.6925,66.765,88.3292179107666,15.498793840408325
18,69.1,67.29,88.1834180355072,15.566796779632568
19,67.70125,65.75999999999999,88.2795615196228,16.065006732940674
20,69.14,66.63,88.53685450553894,15.819350004196167
21,69.6825,67.46,88.07726120948792,16.15342879295349
22,67.47375,66.14999999999999,87.94711256027222,15.663471460342407
23,68.85125,67.02,87.90679740905762,16.085659742355347
24,69.16624999999999,67.145,87.88616013526917,16.3617525100708
25,69.855,67.63,89.35185265541077,16.335369110107422
26,68.90125,66.89,87.53766107559204,15.61724042892456
27,69.61375,67.34,87.56352925300598,15.320311546325684
28,69.29375,67.235,87.16146945953369,15.626738548278809
29,68.25625,66.32000000000001,87.4845507144928,15.382846593856812
30,63.48125,62.214999999999996,86.91040468215942,16.385819911956787
31,68.85375,66.53999999999999,86.96108317375183,22.733688354492188
32,69.845,67.545,87.01895403862,15.972741603851318
33,69.44749999999999,66.955,88.23267269134521,15.789955854415894
34,69.525,67.50500000000001,88.40036821365356,15.998440027236938
35,69.57875,67.015,87.7853353023529,15.388996601104736
36,69.20625,66.755,86.87470936775208,16.307809114456177
37,69.745,67.05,88.44219160079956,15.96080470085144
38,69.25375,66.85,87.3856246471405,15.07649040222168
39,66.61125,65.0,87.79438352584839,15.801549673080444
40,69.31625,66.735,87.33732557296753,15.334837913513184
41,67.15625,65.495,86.12485384941101,15.241789817810059
42,65.08125,63.49,85.60159254074097,15.189346075057983
43,65.60000000000001,63.714999999999996,86.60758876800537,15.445909023284912
44,69.64625,67.11500000000001,87.13559532165527,15.627086877822876
45,69.6825,67.4,86.27468657493591,15.559869289398193
46,65.71124999999999,64.05999999999999,88.8461549282074,15.375369548797607
47,64.82875,63.295,86.14368295669556,15.730450868606567
48,60.94875,59.935,86.38020992279053,15.702738046646118
49,65.25375,63.27,86.6069438457489,15.850660562515259
