epoch,train_accuracy,test_accuracy,training_time,inference_time
1,68.14750000000001,68.215,56.41141963005066,7.97674560546875
2,72.505,72.205,48.06125569343567,8.04945158958435
3,81.815,81.34,46.814927101135254,7.723607301712036
4,85.355,84.735,46.054439067840576,7.701436281204224
5,85.59875,84.86,45.35728931427002,7.704758405685425
6,84.25125,83.83500000000001,44.91505432128906,7.582504510879517
7,81.285,80.97,44.19936966896057,7.821709632873535
8,87.5625,87.055,43.80087661743164,7.415929079055786
9,88.19749999999999,87.56,43.6453492641449,7.533384323120117
10,82.80375,82.405,43.59288239479065,7.554624080657959
11,87.2525,86.91499999999999,43.81360411643982,7.719183921813965
12,87.60625,87.08500000000001,42.49643850326538,7.583916902542114
13,87.30250000000001,86.875,42.4933717250824,7.588265657424927
14,90.93124999999999,90.55,42.45431470870972,7.330536127090454
15,91.7,91.185,42.42882037162781,7.650141954421997
16,90.27374999999999,89.575,42.31590151786804,7.6079442501068115
17,92.52625,92.15,41.849724769592285,7.4239888191223145
18,87.23625,87.1,41.598880767822266,7.418684482574463
19,92.22375000000001,91.9,41.67986726760864,7.544039487838745
20,93.11749999999999,92.55499999999999,41.690995931625366,7.353137731552124
21,92.15625,91.685,41.59548044204712,7.3162031173706055
22,87.8525,87.83999999999999,41.16600561141968,7.355612754821777
23,94.3075,93.785,41.30663704872131,7.512389421463013
24,90.84875,90.705,41.04053592681885,7.554610729217529
25,82.0875,82.08,40.72558617591858,7.404726266860962
26,89.87625,89.795,41.04160118103027,7.4144580364227295
27,87.70875000000001,87.295,40.8997585773468,7.528021574020386
28,91.74875,91.47999999999999,40.951889514923096,7.444144010543823
29,94.47,94.28,40.94131374359131,7.613616228103638
30,93.58375,93.31,40.602280139923096,7.3094189167022705
31,94.73125,94.65,40.13075828552246,7.349133729934692
32,93.64375,93.55499999999999,40.246909379959106,7.310186862945557
33,94.51125,94.095,40.139293909072876,7.472793102264404
34,95.28,94.82000000000001,40.191508054733276,7.3412182331085205
35,94.00125,93.76,39.678534507751465,7.355369806289673
36,95.46375,95.085,39.54899334907532,7.354605436325073
37,95.76,95.53,39.9370174407959,7.206751346588135
38,93.85875,93.7,39.434171199798584,7.432684659957886
39,95.13374999999999,94.745,40.613852739334106,7.509718179702759
40,91.515,91.345,39.6666944026947,7.346904277801514
41,89.38000000000001,89.32,39.52207827568054,7.428450345993042
42,95.215,94.77499999999999,39.8343288898468,7.54590916633606
43,96.83500000000001,96.45,39.00772142410278,7.2760090827941895
44,94.53375000000001,94.23,38.99623775482178,7.361385107040405
45,94.5375,94.325,39.49426198005676,7.418630838394165
46,96.52875,96.115,38.92714262008667,7.235780954360962
47,95.65875,95.25,39.00296926498413,7.705174684524536
48,96.37375,96.02000000000001,39.261539697647095,7.397197008132935
49,96.6575,96.37,39.06587481498718,7.355329990386963
50,96.195,95.905,39.01106858253479,7.404576778411865
51,96.74875,96.66,39.21499490737915,7.425982236862183
52,95.6025,95.54,38.963846921920776,7.509423494338989
53,95.83874999999999,95.7,38.92846918106079,7.569360971450806
54,93.24125,93.075,39.18857502937317,7.540870428085327
55,93.53625,93.49,39.08081579208374,7.494924068450928
56,94.64875,94.69,38.2767698764801,7.288942337036133
57,95.00999999999999,94.76,38.66718530654907,7.251310110092163
58,95.91875,95.8,38.39245820045471,7.423388719558716
59,96.6025,96.61,38.62778949737549,7.507063627243042
60,90.4575,90.345,38.64065384864807,7.6589860916137695
61,96.2025,96.0,39.33821105957031,7.419800043106079
62,94.96,94.57,38.765867471694946,7.5307862758636475
63,95.5525,95.355,38.95972013473511,7.372594356536865
64,97.1625,96.94500000000001,38.75108742713928,7.698927640914917
65,97.8625,97.715,38.348082065582275,7.389021873474121
66,97.4675,97.275,38.551636934280396,7.300987720489502
67,97.38125,97.21499999999999,38.67181324958801,7.443861722946167
68,96.75375000000001,96.50999999999999,38.80230665206909,7.267265796661377
